,Ingredient,Average retail price,Unit,Refrigerator Storage,Freezer Storage
383,grilled red and green cabbage slaw,0.58,per pound,1 week,8-12 months
384,green cabbage (about 2 pounds),0.58,per pound,1 week,8-12 months
385,green cabbage,0.58,per pound,1 week,8-12 months
386,lightweight young green cabbage,0.58,per pound,1 week,8-12 months
387,lb green cabbage,0.58,per pound,1 week,8-12 months
388,green cabbage (3 pounds),0.58,per pound,1 week,8-12 months
389,fine-shredded green cabbage,0.58,per pound,1 week,8-12 months
390,"red cabbage, cut into 1/2-inch-wide strips",1.06,per pound,1 week,8-12 months
391,red cabbage,1.06,per pound,1 week,8-12 months
392,lb red cabbage,1.06,per pound,1 week,8-12 months
393,wedges red cabbage,1.06,per pound,1 week,8-12 months
394,cabbage red cabbage cabbage,1.06,per pound,1 week,8-12 months
395,red cabbage leaves,1.06,per pound,1 week,8-12 months
396,accompaniment: red cabbage and onions,1.06,per pound,1 week,8-12 months
397,broccoli florets broccoli,2.57,per pound,3-5 days,8-12 months
398,broccolini broccoli florets,2.57,per pound,3-5 days,8-12 months
399,broccoli florets,2.57,per pound,3-5 days,8-12 months
400,broccoli acorn squash,1.17,per pound,3-5 days,8-12 months
401,broccoli heads,1.64,per pound,3-5 days,8-12 months
402,frozen baby lima beans,1.73,per pound,3-5 days,8-12 months
403,box frozen lima beans,1.73,per pound,3-5 days,8-12 months
404,dry lima beans,1.73,per pound,3-5 days,8-12 months
405,lb fresh lima beans beans,1.73,per pound,3-5 days,8-12 months
406,bag frozen baby lima beans,1.73,per pound,3-5 days,8-12 months
407,dried large lima beans,1.73,per pound,3-5 days,8-12 months
408,butter beans baby lima beans,1.73,per pound,3-5 days,8-12 months
409,lima beans,1.73,per pound,3-5 days,8-12 months
410,frozen large lima beans,1.73,per pound,3-5 days,8-12 months
411,bag frozen lima beans,1.73,per pound,3-5 days,8-12 months
412,corn corn and lima beans,1.73,per pound,3-5 days,8-12 months
413,"dried gigante, baby lima beans",1.73,per pound,3-5 days,8-12 months
414,beans frozen baby lima beans,1.73,per pound,3-5 days,8-12 months
415,dried baby lima beans white beans,1.73,per pound,3-5 days,8-12 months
416,fava beans baby lima beans,1.73,per pound,3-5 days,8-12 months
